Open,Type,Volume,Symbol,O_Price,SL,TP,Close,C_Price,Commissions,Profit,Pips,Trade duration in seconds
03/11/2023 19:10,buy,2,CADCHF,0.64188,0,0,26/01/2024 16:50,0.64124,-4.7,10.38,-6.4,1705
06/11/2023 09:55,buy,3.18,EURCHF,0.94464,0.9438,0.94483,23/01/2024 14:01,0.94483,-7.5,9.86,1.9,3412
06/11/2023 09:56,sell,5.5,EURCHF,0.94548,0.94599,0.94475,23/01/2024 12:51,0.94472,-12.97,9.8,7.6,4816
06/11/2023 10:16,buy,2.46,CADCHF,0.63797,0.63734,0.6393,16/01/2024 13:45,0.63734,-5.84,9.69,-6.3,2233
06/11/2023 14:27,sell,5.7,CHFJPY,170.229,170.397,170.083,05/01/2024 11:59,170.267,-13.5,9.18,-3.8,697
08/11/2023 16:15,sell,1.74,CHFJPY,170.35,0,0,05/01/2024 11:36,170.132,-4.12,7.92,21.8,1247
09/11/2023 09:36,sell,2,EURCHF,0.93103,0,0,05/01/2024 11:34,0.93204,-4.74,7.36,-10.1,325
10/11/2023 11:13,buy,6,GBPUSD,1.26252,1.26189,1.26374,03/01/2024 13:34,1.26189,-14.26,3.55,-6.3,774
10/11/2023 16:34,buy,4,GBPUSD,1.26341,1.26244,1.26489,03/01/2024 12:16,1.26245,-9.5,2.5,-9.6,3733
13/11/2023 18:19,sell,5.14,EURGBP,0.86827,0,0,27/12/2023 16:07,0.86881,-12.1,0,-5.4,253
13/11/2023 19:21,sell,4.28,EURUSD,1.09758,1.0976,1.09695,19/12/2023 20:39,1.0976,-10.08,0,-0.2,2326
13/11/2023 19:21,sell,4,EURGBP,0.86272,0,0,18/12/2023 17:05,0.86319,-9.48,-0.63,-4.7,893
13/11/2023 19:27,buy,3.6,EURGBP,0.87282,0.87244,0,21/11/2023 17:48,0.87253,-8.61,-1.77,-2.9,8843
13/11/2023 19:27,sell,1,CHFJPY,167.125,167.316,166.555,21/11/2023 17:37,167.315,-2.4,-3.5,-19,21932
13/11/2023 20:42,sell,2.2,CHFJPY,166.99,167.087,166.554,21/11/2023 15:07,167.091,-5.26,-6.72,-10.1,2297
13/11/2023 21:14,sell,2.86,CHFJPY,166.955,0,0,21/11/2023 11:22,167.06,-6.84,-8.05,-10.5,279
14/11/2023 09:51,sell,5,EURGBP,0.87478,0,0,17/11/2023 10:45,0.87522,-12.1,-8.67,-4.4,407
14/11/2023 10:20,buy,3,EURGBP,0.87483,0,0,16/11/2023 17:52,0.87441,-7.24,-10,-4.2,2157
14/11/2023 10:30,sell,2.2,EURGBP,0.87327,0.8738,0,15/11/2023 20:00,0.8738,-5.32,-10.5,-5.3,2711
14/11/2023 13:44,sell,5.4,EURGBP,0.87327,0,0,15/11/2023 19:27,0.87342,-13.04,-11.62,-1.5,737
14/11/2023 13:50,sell,3.4,AUDCAD,0.88126,0,0,14/11/2023 14:17,0.88082,-8.3,-15.01,4.4,1609
15/11/2023 19:15,sell,4.4,NZDCAD,0.81183,0,0,14/11/2023 14:17,0.81144,-10.74,-16.18,3.9,1947
15/11/2023 19:15,buy,9.59,AUDCAD,0.87957,0.87897,0.88007,14/11/2023 11:07,0.88005,-23.42,-19.29,4.8,2226
16/11/2023 17:16,buy,6.79,EURCHF,0.96517,0,0.96551,14/11/2023 10:23,0.96484,-16.58,-33.68,-3.3,158
17/11/2023 10:38,sell,10.8,AUDCAD,0.87999,0.88032,0.87956,14/11/2023 10:07,0.87965,-26.35,-33.73,3.4,951
21/11/2023 11:18,sell,7.77,AUDCAD,0.88056,0,0,13/11/2023 21:51,0.88054,-18.99,-37.78,0.2,4133
21/11/2023 11:31,sell,7.77,AUDCAD,0.88056,0,0,13/11/2023 21:17,0.88047,-19,-39.26,0.9,137
21/11/2023 14:29,sell,1.5,NZDCAD,0.81225,0,0,13/11/2023 20:15,0.81227,-3.66,-41.52,-0.2,2873
21/11/2023 15:21,sell,3,NZDCAD,0.81229,0,0,13/11/2023 20:15,0.81227,-7.34,-43.64,0.2,2899
18/12/2023 16:50,buy,2.75,EURCHF,0.96426,0,0,13/11/2023 20:15,0.9645,-6.72,-49.47,2.4,3269
19/12/2023 20:00,buy,5,EURCHF,0.96426,0,0,13/11/2023 19:32,0.96464,-12.23,-50.47,3.8,687
